rno,"Item, Specification, Type",Qty,unit,U.W.,TW.,Material
7,MS Steel plate 4000*2200*20mm,,Nos,1382,1382.0,Q235B
2,MS Steel Plate 9500*2200*16mm,,Nos,2625,2625.0,Q235B
3,MS Steel 9500*1500*10mm plate,26,Nos,1119,29094.0,Q235B
4,MS Steel 13600*1500*10mm plate,16,Nos,1602,25632.0,Q235B
5,MS Steel Plate 12000x1500x10,13,Nos,1413,18369.0,Q235B
6,MS Steel Plate 3000x1500x10,2,Nos,354,708.0,Q235B
,MS Steel Plate 3000x1500x8,10,Nos,283,2830.0,Q235B
8,MS Steel Plate 3000x1500x5,6,Nos,177,1062.0,Q235B
9,MS Checkered Plate 2500x1260x6,16,Nos,152,2432.0,Q235B
10,MS Steel Plate 3000x1500x4,9,Nos,142,1278.0,Q235B
11,MS Checkered Plate 2500x1260x4,95,Nos,101,9595.0,Q235B
16,MS PIPE WELDED 034*3.25,1248,m,2.42,3020.2,Q235B
17,MS PIPE WELDED 048*3.5,120,m,3.84,460.8,Q235B
18,MS PIPE WELDED 0820*10,63,m,120,7560.0,Q235B
19,MS PIPE WELDED 0530*10,36,m,77.5,2790.0,Q235B
20,MS PIPE WELDED 0630*10,41,m,152.8,6264.8,Q235B
21,MS PIPE WELDED 0325*6,96,m,47.2,4531.2,Q235B
21,MS PIPE WELDED 0325*6,96,m,47.22,4531.2,Q235B
22,MS PIPE WELDED 0219*6,36,m,31.5,1134.0,Q235B
,Ivio Tu L VVLLDLD CLiO 10,Ou,,O |.0,,UluUD
23,MS PIPE WELDED 0140*4.5,0.21,m,15.1,3.2,Q235B
Lo,Ivio CicC VVCLDCD Y140 4.0,U.2,,1O.,O5ac,Qloud
24,MS PIPE WELDED 0426*10,41,m,62.1,2546.1,Q235B
24,Ivio CicC VVCLCD W4lo 10,4 |,,OL:|,790,Qloud
25,MS PIPE WELDED 0114*4.5,60,m,12.15,729.0,Q235B
Zo,MS PIPE WELDED 01 14*4.3,Ou,m,2.10,Lo.o 95a,Q25ob
26,MS PIPE WELDED 060*3.5,72,m,4.88,351.4,Q235B
Zo,"MS PIPE WELDED pou"" 5.0",(2,m,4.66,OonI,Q25ob
27,IMS ELBOW WELDED 90*048*3.5,12,m,0.2,2.4,Q235B
27,IMS ELBOW WELDED 90*048*3.5,12,m,0.2,L.4,Q235B
28,IMS FLATE 40*4 Flat Steel,825,m,"1,.256",1036.2,Q235B
28,IMS FLATE 40*4 Flat Steel,825,m,1.256,1036.2,Q235B
29,100*48*5.3 U-shape section steel,76,m,10,760.0,Q235B
30,20a(200*73*7)U-shape section ste,79,m,22.637,1788.3,Q235B
31,160*65*8 5 U-section steel,122,,19 752,2409,0235B
5|,"ToU""03*8.0 U-section steel CtCeiA",TZZ,m,T9.(2,Zyus.(,QZSOB
32,(U section steel 140*58*6,36,m,14.535,523.3,Q235B
33,Ic-shaped steel 100*60*20*2,210,m,4.08,856.8,Q235B
34,I-beam 20 a(200*100*7 I-beam seci,226,m,27.9,6311.954,Q235B
35,MS I-beam 30b(300*128*11) /-beanl,65,m,52.794,3431.6,Q235B
36,20b(200*102*9) section steel,117,m,27.929,3267.693,Q235B
37,75*75*6 L -setction steel,48,m,6.905,331.4,Q235B
38,125*80*10 L-section,73,m,15.474,1129.6,Q235B
39,100*100*10 L-section,216,m,15.166,3275.9,Q235B
40,75*75*5 L section steel,54,m,5.818,314.172,Q235B
41,100 100*10 L-section Steel,8,m,15.166,121.3,Q235B
42,50*50*5 L-section Steel,30,m,3.77,113.1,Q235B
43,163*63*5 L-shape section steel,738,m,4.822,3558.6,Q235B
44,200*200*8*12 H-section,84,m,49.9,4191.6,Q235B
,Total,,,,156439.3,
