Jem=,anded By MC,aintenance,Deman,ded For,Agri Ube,,,udget Code,3 2.2,68(2022),
,,PLEAs,SE ALLC,WI PROCLE,JRE THE FOLC,LOWING ITEM,SISERVICES,,,,
Sr. No_,Item Code,Description of Goods,UOM,Req Qty:,Last PurRate,Amount,Need By Date,Last Del Date,Pend PR Qty,Stock in Hand,Why Needed
,301-TSO0076-00-000-,"ELBOW G.l 3/4""",NOS,6.00,,,30-OCT-23,28-SEP-23,,0.000,
2,301-TS00596-00-000- 000,BOLT NUT MS HEXAGONAL HEAD (10X35)MM,NOS,18.00,,,30-OCT-23,19-SEP-23,,0.000,
3,301-TS13397-00-000- 000,BOLT WITH NUT MS HEXAGONAL HEAD 8X25mm,NOS,18.00,,,30-OCT-23,28-SEP-23,,0.000,
,301-TS01950-00-000- 000,"NIPPLE BARRAL 2""",NOS,4.00,,,30-OCT-23,19-OCT-23,,0.000,
5,301-TS11858-00-000- 000,"NIPPLE BARREL G.l 1-1/2""",NOS,12.00,,,30-OCT-23,29-AUG-23,,0.000,
6,301-TS12110-00-000- 000,"ELBOW G.I THREADED 2""X1-1/2""",NOS,6.00,,,30-OCT-23,19-OCT-23,,0.000,
,301-TS48556-00-000- 000,"NIPPLE BARREL MS 1-1/2""PT X 1-1/2""PT",NOS,6.00,,,30-OCT-23,28-SEP-23,,0.000,
8,301-TS14683-00-000- 000,"NIPPLE FOR FLEXIBLE PIPE STEAM 1/2""X3/4'",NOS,6.00,,,30-OCT-23,19-DEC-19,,0.000,
9,301-TS01395-00-000- 000,NIPPLE BARREL Gl 1/2',NOS,6.00,,,30-OCT-23,28-SEP-23,,0.000,
10,301-TSO00105-00-000- 000,"SOCKET G. 1/2""",NOS,6.00,,,30-OCT-23,19-OCT-23,,0.000,
11,301-TSO0106-00-000- 000,"SOCKET G.l3/4""",NOS,6.00,,,30-OCT-23,19-OCT-23,,0.000,
12,301-TS48788-00-000- 000,"ELBOW G.r THREADED 2""X1-1/2""",NOS,6.00,,,30-OCT-23,08-AUG-23,,0.000,
13,301-TS48787-00-000- 000,"SOCKET G. THREADED DIA 2""",NOS,6.00,,,30-OCT-23,28-SEP-23,,0.000,
14,301-TS42977-00-000- 0oo,"REDUCER MS 1/2""x1/4'",NOS,6.00,,,30-OCT-23,28-SEP-23,,0.000,
15,301-TS17370-00-000- 0oo,"REDUCER MS SIZE 1""X1/2""",NOS,6.00,,,30-OCT-23,28-SEP-23,,0.000,
16,301-TS46809-00-000- 000,"TANK STAINLESS STEEL DIA 18"" HEIGHT 20"" SHEET THK-ZMM S.S MATERIAL, WITH REMOVABL E TOP LID",NOS,2.00,,,30-OCT-23,03-OCT-23,,0.000,
