S.No_,Material Description,Pur: Req:,Plant,UOM,Quantity,Rate/Unit,Amount
1,MS ANGLE IRON 50XSOX4 MM,2000000634,FCCL Nizampur,KG,74.00,,
2,Angle Iron 5Ox5Ox1O mm,2000000634,FCCL Nizampur,KG,"2,376.00",,
3,Angle Iron 50x5Ox6 mm,2000000634,FCCL Nizampur,KG,"2,764.00",,
,Angle Iron 5OxSOx8 mm,2000000634,FCCL Nizampur,KG,"6,561.00",,
5,Angle Iron 75x75x10 mm,2000000634,FCCL Nizampur,KG,"5,225.00",,
,Angle 35x35x3 mm,2000000634,FCCL Nizampur,KG,440.00,,
,C Channel 100XSOX6mm,2000000634,FCCL Nizampur,KG,109.00,,
8,Channel 150X75X8mm,2000000634,FCCL Nizampur,KG,"1,173.00",,
9,C Channel 200X1OOX8mm,2000000634,FCCL Nizampur,KG,302.00,,
10,Beam HEA 100 mm,2000000634,FCCL Nizampur,KG,"1,818.00",,
11,Beam HEA 220 mm,2000000634,FCCL Nizampur,KG,"1,773.00",,
12,Beam HEA 150 mm,2000000634,FCCL Nizampur,KG,343.00,,
13,Shedule 40 Pipe Dia 141 mm,2000000634,FCCL Nizampur,M,213.00,,
14,Shedule 40 Pipe Dia 168 mm,2000000634,FCCL Nizampur,M,34.00,,
